City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Chardara,KZ,77.94,overcast clouds,41.2547,67.9692,Жанаргул
10,Lata,PT,85.5,scattered clouds,40.1629,-8.3327,Casa Maquia
16,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Boyolangu,ID,76.37,broken clouds,-8.1181,111.8935,Yos ega cv
25,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
26,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
33,Eyl,SO,79.83,overcast clouds,7.9803,49.8164,Amiin Hotel
35,Atuona,PF,77.2,scattered clouds,-9.8,-139.0333,Villa Enata
37,Tianmen,CN,76.3,light rain,30.6516,113.1603,Tianmen Luyu Hotel
38,Cabo San Lucas,MX,86.61,scattered clouds,22.8909,-109.9124,Vista Roof Restaurant
40,Boende,CD,84.0,scattered clouds,-0.2167,20.8667,
46,Samarai,PG,79.72,broken clouds,-10.6167,150.6667,Nuli Sapi
55,Half Moon Bay,US,82.54,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
59,Isangel,VU,76.53,broken clouds,-19.55,169.2667,Tanna Lodge
73,Soddy-Daisy,US,80.96,broken clouds,35.2359,-85.1908,Home Town Inn Soddy-Daisy
74,Algiers,DZ,76.82,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
83,Namatanai,PG,78.53,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
86,Bali,ID,81.57,overcast clouds,-8.5,115.0,Pondok Pitaya
99,Pundaguitan,PH,83.12,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
102,Port Elizabeth,ZA,79.09,clear sky,-33.918,25.5701,39 On Nile Guest House
107,Krasnystaw,PL,75.4,clear sky,50.9846,23.1742,Internat Liceum Ogólnokształcącego nr I
110,Daru,PG,77.88,overcast clouds,-9.0763,143.2092,Daru Lodge
112,Bandarbeyla,SO,81.01,overcast clouds,9.4942,50.8122,JABIR HOTEL
115,Faanui,PF,79.52,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
116,Cururupu,BR,86.47,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
122,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
132,Gracac,HR,76.75,few clouds,44.3006,15.8547,"Apartment ""ANA"""
133,Miandrivazo,MG,77.58,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
136,Old Town,CZ,80.15,clear sky,50.087,14.4202,Botanique Hotel Prague
139,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
141,Hithadhoo,MV,83.44,moderate rain,-0.6,73.0833,Scoop Guest House
143,Gazojak,TM,84.11,overcast clouds,41.1875,61.4036,
147,Sur,OM,89.96,clear sky,22.5667,59.5289,Sur Plaza Hotel
151,Mazatlan,MX,83.91,few clouds,23.2167,-106.4167,Hotel La Siesta
154,Sao Felix Do Xingu,BR,90.0,light rain,-6.6447,-51.995,Rio Xingu Camping
156,Saint-Francois,FR,83.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
162,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
163,Nicoya,CR,82.44,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
167,Randazzo,IT,77.43,clear sky,37.8774,14.9501,Ai Tre Parchi Bed And Bike
169,Marzuq,YE,86.49,broken clouds,14.4,46.4667,
171,Kampong Thum,KH,82.35,overcast clouds,12.7111,104.8887,Sambor Village Hotel
172,Taylorville,US,76.87,scattered clouds,39.5489,-89.2945,Economy Inn
177,Borovoy,RU,76.28,clear sky,55.4333,86.0833,Tsimus
183,Puri,IN,82.92,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
185,Pochutla,MX,84.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
186,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
187,Caltagirone,IT,80.28,clear sky,37.2368,14.5126,Hotel NH Caltagirone Villa San Mauro
189,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
194,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
195,Davila,PH,76.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
198,Puerto Escondido,MX,85.42,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
203,Poum,NC,75.54,broken clouds,-20.2333,164.0167,
209,Edgewater,US,89.02,scattered clouds,28.9889,-80.9023,Islander Beach Resort
210,Butaritari,KI,81.32,few clouds,3.0707,172.7902,Isles Sunset Lodge
212,Libreville,GA,82.42,scattered clouds,0.3925,9.4537,Le Méridien Re-Ndama
222,Pasco,US,86.95,overcast clouds,28.292,-82.4165,Connection Community/Park
223,Sao Filipe,CV,75.36,clear sky,14.8961,-24.4956,Hotel Xaguate
235,Touros,BR,85.19,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
238,Kirakira,SB,78.17,clear sky,-10.4544,161.9205,SanBiz Lodge
242,Aguimes,ES,76.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
243,Buala,SB,79.16,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
244,George,ZA,78.35,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
246,Sabang,ID,83.01,light rain,5.8933,95.3214,Hotel Citra
251,Tautira,PF,78.03,light rain,-17.7333,-149.15,Pension Oaoa
254,Aborlan,PH,82.47,broken clouds,9.4352,118.5492,Kevina Transient House
256,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
258,Gizo,SB,81.03,clear sky,-8.103,156.8419,Imagination Island
262,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
263,Barpathar,IN,76.91,overcast clouds,26.3,93.8667,chandan jyoti borah
265,Hambantota,LK,80.96,overcast clouds,6.1241,81.1185,Bungalow 63
266,Grajau,BR,84.38,overcast clouds,-5.8194,-46.1386,Hotel Confiança
267,Faya,SA,86.11,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
268,Bethel,US,76.46,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
274,Ponta Do Sol,PT,80.71,clear sky,32.6667,-17.1,Hotel do Campo
276,Gambela,ET,79.68,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
278,Avera,US,88.38,broken clouds,33.194,-82.5271,
280,Pakxan,LA,76.55,broken clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
282,Kendari,ID,75.87,light rain,-3.945,122.4989,Hotel Wixel
289,Lasem,ID,79.07,broken clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
291,Pemangkat,ID,80.8,overcast clouds,1.1667,108.9667,Ramah Kost KITA
292,Jaguarari,BR,84.87,scattered clouds,-10.2639,-40.1958,Hotel Quintal De Casa
294,Georgetown,MY,78.73,light rain,5.4112,100.3354,Cititel Penang
295,Honiara,SB,76.06,clear sky,-9.4333,159.95,Heritage Park Hotel
296,Tual,ID,81.99,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
298,Soure,BR,81.64,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
301,Korla,CN,84.04,scattered clouds,41.7597,86.1469,Gulisitan Hotel
302,San Pedro,PH,83.43,light rain,14.35,121.0167,Esquivel's Garden And Resort
303,Mayumba,GA,78.69,clear sky,-3.432,10.6554,LIKWALE LODGE
306,Nijar,ES,89.24,clear sky,36.9665,-2.206,La Casa del Cine
307,Ewo,CG,88.05,clear sky,-0.8725,14.8206,Residence Elonda Ewo
308,Richmond,US,80.76,broken clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
310,Ambilobe,MG,75.34,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
311,Meulaboh,ID,77.92,light rain,4.1363,96.1285,Kost Pria
312,Batticaloa,LK,83.84,overcast clouds,7.7102,81.6924,Grand Star Guest House
318,Pitimbu,BR,75.79,light rain,-7.4706,-34.8086,Reserva do Abiaí
320,Carauari,BR,75.7,overcast clouds,-4.8828,-66.8958,Hotel Fellip
322,Madras,IN,87.78,scattered clouds,13.0878,80.2785,"Taj Connemara, Chennai"
323,Kochi,IN,80.58,scattered clouds,9.9399,76.2602,Trident Hotel Cochin
324,Lasa,IT,81.7,clear sky,46.6166,10.7002,Pension Feldgärtenhof
