City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,70.92,45,0,9.22,clear sky
1,Chardara,KZ,41.2547,67.9692,77.94,48,100,6.13,overcast clouds
2,Amuntai,ID,-2.4177,115.2494,73.99,98,48,1.01,scattered clouds
3,Atar,MR,20.5169,-13.0499,110.66,9,22,8.12,few clouds
4,Airai,TL,-8.9266,125.4092,56.12,86,83,3.4,broken clouds
5,Vanavara,RU,60.34,102.2797,49.64,64,21,5.19,few clouds
6,Ushuaia,AR,-54.8,-68.3,38.86,93,20,10.36,few clouds
7,Chernyshevskiy,RU,63.0128,112.4714,41.47,77,18,4.36,few clouds
8,Bredasdorp,ZA,-34.5322,20.0403,68.7,29,100,2.68,overcast clouds
9,Pristina,XK,42.6727,21.1669,67.37,77,75,14.97,broken clouds
10,Lata,PT,40.1629,-8.3327,85.5,50,39,9.19,scattered clouds
11,Mataura,NZ,-46.1927,168.8643,35.47,91,65,6.58,broken clouds
12,Ribeira Grande,PT,38.5167,-28.7,66.6,77,40,5.75,scattered clouds
13,Port Alfred,ZA,-33.5906,26.891,68.18,51,52,8.3,broken clouds
14,Hay River,CA,60.8156,-115.7999,62.58,72,75,5.75,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,74.64,78,23,15.37,light rain
16,Puerto Ayora,EC,-0.7393,-90.3518,75.16,92,74,5.01,broken clouds
17,Punta Arenas,CL,-53.15,-70.9167,44.71,87,100,4.61,overcast clouds
18,Boyolangu,ID,-8.1181,111.8935,76.37,91,77,2.39,broken clouds
19,Hobart,AU,-42.8794,147.3294,39.25,88,75,14.97,broken clouds
20,Khatanga,RU,71.9667,102.5,50.2,56,35,9.42,scattered clouds
21,Odda,NO,60.0691,6.5457,59.77,79,96,12.01,overcast clouds
22,Cherskiy,RU,68.75,161.3,57.83,46,100,6.2,overcast clouds
23,Barrow,US,71.2906,-156.7887,32.02,86,100,11.5,overcast clouds
24,Busselton,AU,-33.65,115.3333,61.25,84,20,8.88,few clouds
25,San Andres,CO,12.5847,-81.7006,82.42,83,75,11.5,broken clouds
26,Victoria,HK,22.2855,114.1577,83.32,89,100,10.0,overcast clouds
27,Yuzhno-Kurilsk,RU,44.0306,145.8556,47.25,99,100,8.88,moderate rain
28,Yellowknife,CA,62.456,-114.3525,61.32,72,75,18.41,broken clouds
29,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,100,100,4.47,fog
30,Bluff,NZ,-46.6,168.3333,35.8,75,91,19.01,light rain
31,Oranjemund,NA,-28.55,16.4333,66.43,45,97,8.97,overcast clouds
32,Nome,US,64.5011,-165.4064,38.16,70,0,9.22,clear sky
33,Eyl,SO,7.9803,49.8164,79.83,77,100,26.46,overcast clouds
34,Athabasca,CA,54.7169,-113.2854,63.01,48,92,3.89,overcast clouds
35,Atuona,PF,-9.8,-139.0333,77.2,69,36,15.35,scattered clouds
36,Hilo,US,19.7297,-155.09,74.28,82,40,6.91,scattered clouds
37,Tianmen,CN,30.6516,113.1603,76.3,71,100,1.81,light rain
38,Cabo San Lucas,MX,22.8909,-109.9124,86.61,75,26,6.2,scattered clouds
39,Thompson,CA,55.7435,-97.8558,57.36,58,40,4.61,scattered clouds
40,Boende,CD,-0.2167,20.8667,84.0,55,46,2.01,scattered clouds
41,Saskylakh,RU,71.9167,114.0833,54.32,53,30,13.09,scattered clouds
42,Kapaa,US,22.0752,-159.319,71.92,89,20,12.66,few clouds
43,Witbank,ZA,-25.8713,29.2332,54.63,37,0,4.76,clear sky
44,Saint George,US,37.1041,-113.5841,90.79,19,8,1.99,clear sky
45,Hofn,IS,64.2539,-15.2082,51.39,75,100,5.93,overcast clouds
46,Samarai,PG,-10.6167,150.6667,79.72,81,71,4.5,broken clouds
47,Tasiilaq,GL,65.6145,-37.6368,42.96,69,3,1.72,clear sky
48,Lemon Tree Passage,AU,-32.7327,152.036,50.92,63,0,8.01,clear sky
49,Castro,BR,-24.7911,-50.0119,55.24,42,100,3.4,overcast clouds
50,Torbay,CA,47.6666,-52.7314,70.57,64,75,19.57,broken clouds
51,Byron Bay,AU,-28.65,153.6167,51.58,68,2,9.13,clear sky
52,Shaowu,CN,27.3409,117.4831,69.64,99,100,2.93,overcast clouds
53,Omama,JP,36.4333,139.2833,64.45,95,100,1.28,light rain
54,Kodiak,US,57.79,-152.4072,53.11,82,100,9.22,overcast clouds
55,Half Moon Bay,US,37.4636,-122.4286,82.54,79,40,5.75,scattered clouds
56,Zhigansk,RU,66.7697,123.3711,48.11,85,22,10.11,few clouds
57,Hovd,MN,48.0056,91.6419,63.86,45,48,8.93,scattered clouds
58,Tuatapere,NZ,-46.1333,167.6833,34.12,94,81,6.22,snow
59,Isangel,VU,-19.55,169.2667,76.53,87,72,5.1,broken clouds
60,Preutesti,RO,47.45,26.4167,65.98,87,100,10.47,overcast clouds
61,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,100,13.8,overcast clouds
62,Sayyan,YE,15.1718,44.3244,74.46,18,72,10.71,broken clouds
63,Bambous Virieux,MU,-20.3428,57.7575,73.65,68,75,13.8,broken clouds
64,Coihaique,CL,-45.5752,-72.0662,32.61,93,100,0.0,fog
65,Chokurdakh,RU,70.6333,147.9167,48.22,55,16,10.49,few clouds
66,Magadan,RU,59.5667,150.8,34.54,98,100,1.39,overcast clouds
67,Dikson,RU,73.5069,80.5464,35.71,89,100,3.15,overcast clouds
68,Norman Wells,CA,65.282,-126.8329,51.84,76,75,10.36,broken clouds
69,Qaanaaq,GL,77.484,-69.3632,29.66,76,100,5.35,overcast clouds
70,Severo-Kurilsk,RU,50.6789,156.125,43.77,83,93,9.95,overcast clouds
71,Tiksi,RU,71.6872,128.8694,37.74,77,88,7.4,overcast clouds
72,Carnarvon,AU,-24.8667,113.6333,70.63,70,1,11.99,clear sky
73,Soddy-Daisy,US,35.2359,-85.1908,80.96,70,78,4.0,broken clouds
74,Algiers,DZ,36.7525,3.042,76.82,53,0,12.66,clear sky
75,Albany,US,42.6001,-73.9662,71.64,63,100,1.28,overcast clouds
76,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,78,100,8.05,overcast clouds
77,Esperance,AU,-33.8667,121.9,55.72,74,30,17.27,scattered clouds
