City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2022-06-11 00:26:21,57.79,-152.4072,60.31,59,100,4.61
1,Port Hardy,CA,2022-06-11 00:29:03,50.6996,-127.4199,59.18,67,75,11.5
2,Atuona,PF,2022-06-11 00:29:03,-9.8,-139.0333,77.95,69,9,15.1
3,Guantanamo,CU,2022-06-11 00:29:03,20.1444,-75.2092,83.77,79,70,2.95
4,Longyearbyen,SJ,2022-06-11 00:29:04,78.2186,15.6401,37.24,81,100,4.61
5,Yairipok,IN,2022-06-11 00:29:04,24.6667,94.0667,69.67,97,100,1.43
6,Provideniya,RU,2022-06-11 00:29:04,64.3833,-173.3,48.51,39,96,2.19
7,Kahului,US,2022-06-11 00:25:11,20.8947,-156.47,87.82,62,0,25.32
8,Tuktoyaktuk,CA,2022-06-11 00:29:05,69.4541,-133.0374,44.6,65,75,13.8
9,New Norfolk,AU,2022-06-11 00:29:05,-42.7826,147.0587,46.71,82,97,5.99
10,Qaanaaq,GL,2022-06-11 00:29:05,77.484,-69.3632,30.54,85,100,2.46
11,Luderitz,NA,2022-06-11 00:29:06,-26.6481,15.1594,68.52,26,49,9.33
12,Hermanus,ZA,2022-06-11 00:29:06,-34.4187,19.2345,59.81,40,77,10.02
13,Busselton,AU,2022-06-11 00:29:06,-33.65,115.3333,63.54,86,81,15.88
14,Ushuaia,AR,2022-06-11 00:29:07,-54.8,-68.3,46.06,61,20,4.61
15,Saldanha,ZA,2022-06-11 00:29:07,-33.0117,17.9442,60.85,41,45,18.3
16,Tilichiki,RU,2022-06-11 00:29:07,60.4667,166.1,54.03,51,93,12.88
17,Avarua,CK,2022-06-11 00:29:08,-21.2078,-159.775,78.85,65,40,14.97
18,Valleyview,CA,2022-06-11 00:29:08,55.0667,-117.2859,69.84,26,11,14.97
19,Lulea,SE,2022-06-11 00:29:09,65.5842,22.1547,50.07,93,2,6.91
20,Vaini,TO,2022-06-11 00:29:09,-21.2,-175.2,80.76,74,40,8.05
21,Ribeira Grande,PT,2022-06-11 00:29:09,38.5167,-28.7,62.98,95,100,9.22
22,Tura,IN,2022-06-11 00:29:10,25.5198,90.2201,72.81,96,96,6.49
23,Salalah,OM,2022-06-11 00:29:10,17.0151,54.0924,86.09,79,75,8.05
24,Puerto Ayora,EC,2022-06-11 00:29:10,-0.7393,-90.3518,71.55,94,14,4.0
25,Ahipara,NZ,2022-06-11 00:29:11,-35.1667,173.1667,61.52,86,14,15.88
26,Mahebourg,MU,2022-06-11 00:29:11,-20.4081,57.7,70.09,94,75,9.22
27,Gaozhou,CN,2022-06-11 00:29:12,21.9392,110.8461,75.16,99,100,7.16
28,Upernavik,GL,2022-06-11 00:29:12,72.7868,-56.1549,30.27,80,36,9.6
29,Celestun,MX,2022-06-11 00:29:12,20.8667,-90.4,82.63,78,5,13.29
30,Mataura,NZ,2022-06-11 00:29:13,-46.1927,168.8643,39.47,99,100,4.61
31,Cape Town,ZA,2022-06-11 00:29:13,-33.9258,18.4232,68.92,29,0,4.0
32,Broome,US,2022-06-11 00:29:13,42.2506,-75.833,66.58,58,0,6.91
33,Saint George,US,2022-06-11 00:29:14,37.1041,-113.5841,106.63,8,0,14.97
34,Shelburne,CA,2022-06-11 00:29:14,44.0787,-80.2041,65.19,79,25,4.74
35,Rikitea,PF,2022-06-11 00:29:15,-23.1203,-134.9692,76.05,60,69,13.49
36,Gomel,BY,2022-06-11 00:29:15,52.4345,30.9754,67.98,73,0,6.71
37,Port Elizabeth,ZA,2022-06-11 00:29:16,-33.918,25.5701,59.31,59,0,1.99
38,Ust-Nera,RU,2022-06-11 00:29:16,64.5667,143.2,54.72,27,3,2.71
39,Rio Gallegos,AR,2022-06-11 00:27:02,-51.6226,-69.2181,48.25,53,75,11.5
40,Pitimbu,BR,2022-06-11 00:29:16,-7.4706,-34.8086,75.79,83,36,5.88
41,Sao Filipe,CV,2022-06-11 00:29:17,14.8961,-24.4956,75.02,76,5,11.72
42,Pevek,RU,2022-06-11 00:29:17,69.7008,170.3133,41.38,66,74,5.84
43,Albany,US,2022-06-11 00:26:04,42.6001,-73.9662,68.65,60,25,6.29
44,Sikeston,US,2022-06-11 00:29:18,36.8767,-89.5879,81.25,47,0,4.61
45,Ardakan,IR,2022-06-11 00:29:18,32.31,54.0175,81.07,9,0,6.58
46,La Rioja,ES,2022-06-11 00:26:05,42.25,-2.5,56.98,55,82,4.45
47,Catuday,PH,2022-06-11 00:29:19,16.2923,119.8062,81.34,76,100,6.46
48,Dikson,RU,2022-06-11 00:29:19,73.5069,80.5464,38.03,78,94,11.72
49,Iqaluit,CA,2022-06-11 00:29:20,63.7506,-68.5145,49.73,61,20,15.01
50,Salinopolis,BR,2022-06-11 00:29:20,-0.6136,-47.3561,78.48,83,47,9.28
51,Mildura,AU,2022-06-11 00:29:20,-34.2,142.15,51.08,86,8,9.93
52,Tasiilaq,GL,2022-06-11 00:29:21,65.6145,-37.6368,41.16,68,18,4.59
53,Guasdualito,VE,2022-06-11 00:29:21,7.2424,-70.7324,84.2,70,20,3.44
54,Half Moon Bay,US,2022-06-11 00:28:07,37.4636,-122.4286,98.89,74,0,31.07
55,Hami,CN,2022-06-11 00:29:22,42.8,93.45,74.62,9,73,10.4
56,Barrow,US,2022-06-11 00:29:22,71.2906,-156.7887,35.62,80,100,13.8
57,Tateyama,JP,2022-06-11 00:29:22,34.9833,139.8667,75.09,77,100,4.88
58,Tuatapere,NZ,2022-06-11 00:29:23,-46.1333,167.6833,37.76,94,95,9.57
59,Buala,SB,2022-06-11 00:29:23,-8.145,159.5921,84.43,67,27,5.19
60,Hamilton,US,2022-06-11 00:26:53,39.1834,-84.5333,66.97,86,100,4.61
61,Fereydunshahr,IR,2022-06-11 00:29:24,32.941,50.121,51.03,17,0,2.39
62,Nelson Bay,AU,2022-06-11 00:29:24,-32.7167,152.15,58.1,62,1,4.0
63,Saskylakh,RU,2022-06-11 00:29:24,71.9167,114.0833,48.67,56,0,18.34
64,Atar,MR,2022-06-11 00:29:25,20.5169,-13.0499,90.0,20,2,7.63
65,Kangasala,FI,2022-06-11 00:29:25,61.4638,24.076,60.33,81,97,3.49
66,Tanda,IN,2022-06-11 00:29:25,26.55,82.65,89.92,50,23,4.14
67,Road Town,VG,2022-06-11 00:29:26,18.4167,-64.6167,82.44,78,40,12.66
68,Xingcheng,CN,2022-06-11 00:29:27,40.6167,120.7167,66.34,84,61,6.33
